nohup: ignoring input
═══════════════════════════════════════════════════
 Speech Separation Training — tasnet
═══════════════════════════════════════════════════
 Device:     CUDA
 Data:       ./data/Libri2Mix/Libri2Mix/wav8k/min/train-360
 Epochs:     100
 Batch:      4 (effective 4 with 1x accum)
 LR:         0.001 (warmup 5 epochs, min 1e-06)
 SR:         8000 Hz
 Segment:    32000 (4s)
 Workers:    4
 Augment:    yes
 Ckpt dir:   ./checkpoints
═══════════════════════════════════════════════════

  [GPU] CUDA device available, 1 GPU(s)
Train CSV: ./data/Libri2Mix/Libri2Mix/wav8k/min/train-360/mixture_train-360_mix_clean.csv
Val CSV:   ./data/Libri2Mix/Libri2Mix/wav8k/min/dev/mixture_dev_mix_clean.csv
[LibriMix] 50800 examples from ./data/Libri2Mix/Libri2Mix/wav8k/min/train-360/mixture_train-360_mix_clean.csv
[LibriMix] CSV columns: mix=1 s1=2 s2=3
Parameters: 8.20173M

  [GPU] CUDA device available, 1 GPU(s)

  [Ep   1/100] 9.1% │ SI-SNR: 2.73 dB │ Loss: -2.7314 │ 528s │ LR: 2e-04       
  [Ep   1/100] 9.3% │ SI-SNR: 2.75 dB │ Loss: -2.7541 │ 540s │ LR: 2e-04       
  [Ep   1/100] 9.4% │ SI-SNR: 2.79 dB │ Loss: -2.7941 │ 551s │ LR: 2e-04       
  [Ep   1/100] 9.6% │ SI-SNR: 2.83 dB │ Loss: -2.8328 │ 563s │ LR: 2e-04       
  [Ep   1/100] 9.8% │ SI-SNR: 2.85 dB │ Loss: -2.8465 │ 574s │ LR: 2e-04       
  [Ep   1/100] 10.0% │ SI-SNR: 2.87 dB │ Loss: -2.8690 │ 586s │ LR: 2e-04       
  [Ep   1/100] 10.2% │ SI-SNR: 2.88 dB │ Loss: -2.8835 │ 597s │ LR: 2e-04       
  [Ep   1/100] 10.4% │ SI-SNR: 2.91 dB │ Loss: -2.9063 │ 609s │ LR: 2e-04       
  [Ep   1/100] 10.6% │ SI-SNR: 2.91 dB │ Loss: -2.9056 │ 620s │ LR: 2e-04       
  [Ep   1/100] 10.8% │ SI-SNR: 2.91 dB │ Loss: -2.9124 │ 632s │ LR: 2e-04       
  [Ep   1/100] 11.0% │ SI-SNR: 2.93 dB │ Loss: -2.9265 │ 643s │ LR: 2e-04       
  [Ep   1/100] 11.2% │ SI-SNR: 2.95 dB │ Loss: -2.9478 │ 654s │ LR: 2e-04       
  [Ep   1/100] 11.4% │ SI-SNR: 2.98 dB │ Loss: -2.9771 │ 666s │ LR: 2e-04       
  [Ep   1/100] 11.6% │ SI-SNR: 3.00 dB │ Loss: -3.0024 │ 677s │ LR: 2e-04       
  [Ep   1/100] 11.8% │ SI-SNR: 3.03 dB │ Loss: -3.0304 │ 689s │ LR: 2e-04       
  [Ep   1/100] 12.0% │ SI-SNR: 3.04 dB │ Loss: -3.0399 │ 700s │ LR: 2e-04       
  [Ep   1/100] 12.2% │ SI-SNR: 3.07 dB │ Loss: -3.0655 │ 712s │ LR: 2e-04       
  [Ep   1/100] 12.4% │ SI-SNR: 3.09 dB │ Loss: -3.0900 │ 723s │ LR: 2e-04       
  [Ep   1/100] 12.6% │ SI-SNR: 3.11 dB │ Loss: -3.1063 │ 735s │ LR: 2e-04       
  [Ep   1/100] 12.8% │ SI-SNR: 3.12 dB │ Loss: -3.1191 │ 746s │ LR: 2e-04       
  [Ep   1/100] 13.0% │ SI-SNR: 3.15 dB │ Loss: -3.1514 │ 758s │ LR: 2e-04       
  [Ep   1/100] 13.2% │ SI-SNR: 3.18 dB │ Loss: -3.1843 │ 769s │ LR: 2e-04       
  [Ep   1/100] 13.4% │ SI-SNR: 3.21 dB │ Loss: -3.2074 │ 781s │ LR: 2e-04       
  [Ep   1/100] 13.6% │ SI-SNR: 3.23 dB │ Loss: -3.2314 │ 792s │ LR: 2e-04       
